Name,Address,Type,Description,Image_URL,Latitude,Longitude
American Martyrs Church,"3217 Manhattan Ave, Hermosa Beach, CA 90254",Cultural,"This is the church my family attends when I am home. It is also the parish where I grew up and went to school from preschool through eighth grade, making it a place full of memories.",https://s3-media0.fl.yelpcdn.com/bphoto/1Cdfp917-opV7xJ31aIPsg/l.jpg,33.876118,-118.406477
Boccato’s,"1431 Deegan Pl, Manhattan Beach, CA 90266",Local Business,"Boccato’s is a neighborhood grocery and sandwich shop that my family visits often. It is a favorite stop before a beach day, and we always enjoy chatting with the owners.",https://s3-media0.fl.yelpcdn.com/bphoto/5rYPLEhyvcSU_DGEaVBUmw/258s.jpg,33.889176,-118.406426
Paradise Bowls,"919 Manhattan Ave, Manhattan Beach, CA 90266",Restaurant,"Paradise Bowls is my go-to local acai shop. It is the perfect refreshing snack on a hot beach day, and I always make sure to stop here when I am home.",https://images.happycow.net/venues/1024/36/38/hcmp363820_2270023.jpeg,33.88321,-118.410118
Manhattan Beach Pier,"2 Manhattan Beach Blvd, Manhattan Beach, CA 90266",Recreation,"The Manhattan Beach Pier is one of the most iconic spots in the area. I often come here for walks and to enjoy the ocean views, especially during sunset.",https://beaches.lacounty.gov/wp-content/uploads/2020/12/Manhattan-Beach-BCB_5324-1920x1185.jpg,33.884318,-118.412132
Manhattan Village Mall,"3200 N Sepulveda Blvd, Manhattan Beach, CA 90266",Shopping,"Manhattan Village is the main shopping area near my hometown. It was recently renovated and now has great stores, restaurants, and a lively atmosphere.",https://www.shopmanhattanvillage.com/media/v1/440/2023/03/03_03_23_JSB_ManhattanVillage179.jpg,33.898905,-118.393634
Unlimited Fitness,"3219 Manhattan Ave, Hermosa Beach, CA 90254",Recreation,"Unlimited Fitness is the gym I go to whenever I am home from school. It is a locally owned gym with a strong community feel, and I work out here almost every day when visiting.",https://lh3.googleusercontent.com/gps-cs-s/AHVAweocRokMNKn_tSVwkPDXl-1-LLt3Rk8hs3A0D6c4db76r4IGzCkNeWhRFDJH2wWizzmbf82lgN0ApoBa8HGnXRCAw3zA0DeShJjRQ85WNy-An4satyZVtPLCKFrHOGb9sNZpCvj4=w289-h312-n-k-no,33.87618,-118.406523
Hermosa Beach Pier,"1 Pier Ave, Hermosa Beach, CA 90254",Recreation,The Hermosa Beach Pier is another favorite place to walk along the ocean and enjoy the beach atmosphere. It is always lively and a great place to spend time outside.,https://www.californiabeaches.com/wp-content/uploads/2016/06/Hermosa-Beach-pier-california-2-Large-e1511163171617.jpg,33.861901,-118.401707
Gitana Cafe,"2600 Hermosa Ave, Hermosa Beach, CA 90254",Local Business,"Gitana Cafe is one of my favorite local coffee spots near the beach. It has a relaxed atmosphere and great coffee flavors, making it a perfect morning stop.",https://s3-media0.fl.yelpcdn.com/bphoto/IAydImSxxUsqrvDT9i-4MA/258s.jpg,33.872232,-118.405087
El Sombrero,"1005 Manhattan Ave, Manhattan Beach, CA 90266",Restaurant,"El Sombrero is a classic Mexican restaurant in Manhattan Beach. The owner always greets guests with “Welcome home,” which makes the place feel especially welcoming.",https://s3-media0.fl.yelpcdn.com/bphoto/SolUFjmFDMwX2R7cdHoSYQ/258s.jpg,33.883529,-118.410265
Brewco,"124 Manhattan Beach Blvd, Manhattan Beach, CA 90266",Restaurant,"Brewco is a fun spot for dinner, appetizers, or drinks with friends. It is located near many shops and dessert places, making it a great place to spend an evening.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUon2eJnT0bL_KOpjXjcLmXodIaDGp7cLg4Q&s,33.884435,-118.411038
